Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Max_9,Max_10,Max_11,Max_12,Max_13,Max_14,Max_15,Max_16,Max_17,Max_18,Max_19,Max_20,Max_21,Max_22,Max_23,Max_24,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Min_11,Min_12,Min_13,Min_14,Min_15,Min_16,Min_17,Min_18,Min_19,Min_20,Min_21,Min_22,Min_23,Min_24,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,RMS_9,RMS_10,RMS_11,RMS_12,RMS_13,RMS_14,RMS_15,RMS_16,RMS_17,RMS_18,RMS_19,RMS_20,RMS_21,RMS_22,RMS_23,RMS_24,Kurtosis_1,Kurtosis_2,Kurtosis_3,Kurtosis_4,Kurtosis_5,Kurtosis_6,Kurtosis_7,Kurtosis_8,Kurtosis_9,Kurtosis_10,Kurtosis_11,Kurtosis_12,Kurtosis_13,Kurtosis_14,Kurtosis_15,Kurtosis_16,Kurtosis_17,Kurtosis_18,Kurtosis_19,Kurtosis_20,Kurtosis_21,Kurtosis_22,Kurtosis_23,Kurtosis_24,Skew_1,Skew_2,Skew_3,Skew_4,Skew_5,Skew_6,Skew_7,Skew_8,Skew_9,Skew_10,Skew_11,Skew_12,Skew_13,Skew_14,Skew_15,Skew_16,Skew_17,Skew_18,Skew_19,Skew_20,Skew_21,Skew_22,Skew_23,Skew_24,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16,Entropy_17,Entropy_18,Entropy_19,Entropy_20,Entropy_21,Entropy_22,Entropy_23,Entropy_24
30.476,19.949,25.701999999999998,23.568,18.905,25.805999999999997,20.723000000000003,22.747,20.916,23.252,25.623,21.073,23.893,17.729,24.081999999999997,23.31,21.316999999999997,21.016,30.570999999999998,26.331,26.201,23.546999999999997,20.449,17.663,17,154,195,50,77,128,166,59,162,17,126,66,138,1,2,90,4,17,63,34,36,168,105,10,-22.721999999999998,-18.972,-28.910999999999998,-21.199,-18.692999999999998,-24.570999999999998,-20.872,-21.609,-28.449,-25.066,-23.764,-22.566,-29.052,-19.842,-20.442,-18.989,-22.574,-24.898000000000003,-19.74,-17.545,-21.75,-33.141999999999996,-21.465999999999998,-18.53,8.919,8.3305,8.2626,8.0007,7.6714,8.3359,7.9702,8.5277,8.7635,8.3503,8.4979,9.1262,9.1535,8.0026,7.5503,8.5388,8.1439,8.5163,7.8567,7.609,8.1592,8.4237,7.9767,7.1752,3.3482,2.5889,3.3456,3.0263,2.5974,3.2101,2.5378,2.8559,3.3917,3.0533,3.4188,2.6479,3.3648,2.5676,3.3266,2.6949,3.0545,2.6925,3.5231,3.1447,2.9417,3.7505,2.9489,2.8605,0.09698999999999999,0.13416,-0.25384,-0.051415999999999996,-0.10194,0.06415499999999999,-0.002748,0.11703,-0.30098,0.079714,0.14804,0.053041,-0.014214,-0.085107,0.19876,0.34188,-0.33515,-0.12972,0.31488,0.26232,0.015385,-0.33944,-0.0027511,-0.0041478,6.2289,6.5113,6.1324,6.3284,6.4629,6.2491,6.4847,6.4142,6.3385,6.2888,6.2712,6.5242,6.3763,6.5254,6.3294,6.4403,6.3342,6.398,6.1255,6.3726,6.2384,6.1783,6.3704,6.4093
21.454,22.608,22.295,20.206,26.883000000000003,23.711,31.166,20.265,19.575,18.019000000000002,15.337,24.353,20.402,24.843000000000004,20.785999999999998,27.212,25.304000000000002,30.662,17.333,17.988,20.279,25.895,21.506,19.067,77,155,97,56,37,194,171,158,113,140,193,134,81,45,60,61,132,2,18,48,193,65,44,91,-21.359,-23.285,-18.643,-20.188,-23.7,-26.629,-26.730999999999998,-24.087,-19.756,-26.443,-25.107,-31.011,-16.46,-23.983,-24.503,-23.252,-20.011,-24.339000000000002,-18.747,-20.903000000000002,-16.499000000000002,-22.86,-22.275,-24.888,7.7116,8.4375,8.3499,8.2981,7.5392,8.4552,8.8785,8.2921,7.8756,8.187000000000001,7.6839,9.3596,7.5572,8.9131,8.155,8.8072,8.2809,8.7385,7.2814,7.9137,7.8023,8.2284,8.5271,8.7633,2.7483,2.7343,2.5171,2.8119,3.8908,3.3188,3.6613,2.6896,2.9719,2.7575,3.3546,3.2064,2.5761,3.364,2.8734,3.1688,2.8313,3.1482,2.5701,2.5913,2.645,3.1218,2.8789,2.8472,-0.0063754,0.21575999999999998,-0.030302,-0.2705,-0.16746,-0.07172200000000001,0.17974,-0.023852,-0.11919,-0.18309,-0.4802,-0.28585,0.18252000000000002,-0.060799,-0.23692,0.026811,0.0054785,0.024888,-0.217,0.21631999999999998,0.34003,0.11614000000000001,0.015503999999999999,-0.33218000000000003,6.3724,6.394,6.568,6.5062,6.167999999999999,6.2355,6.1325,6.3389999999999995,6.3933,6.3578,6.4286,6.3367,6.4211,6.2587,6.3576,6.2795,6.4136,6.2189,6.4269,6.4726,6.477,6.3447,6.5146,6.4821
24.213,24.607,20.469,21.903000000000002,20.733,20.458,19.421,21.518,20.219,24.498,26.689,18.808,20.948,25.87,20.729,20.491,24.276999999999997,16.771,24.53,19.447,23.258000000000003,17.024,21.035999999999998,22.465,114,25,88,162,27,96,109,132,74,24,101,117,40,1,118,59,16,152,98,157,98,64,93,72,-26.982,-21.026,-22.401,-21.796999999999997,-23.989,-24.816,-20.836,-30.075,-20.916,-25.241,-22.166,-21.141,-22.893,-21.858,-17.623,-21.625999999999998,-26.454,-24.954,-25.486,-23.521,-22.072,-18.908,-21.206999999999997,-23.149,7.8033,7.7592,8.4269,8.2604,7.943,8.6051,7.5907,8.4711,8.227,8.3658,8.7247,7.4038,8.1721,8.5692,8.0531,8.2005,8.3454,7.8093,8.1362,7.8287,8.479,7.2143,7.8977,8.5627,3.9463,3.0646,2.6895,2.8267,3.0554,2.6444,2.6659,3.2878,2.678,3.3801,3.1294,3.2605,2.7799,2.8056,2.5762,2.8777,3.2217,2.7787,3.1905,2.8068,2.9882,2.7183,2.6678,3.0029,0.064053,0.085303,0.012908000000000001,-0.077413,0.049374,0.035594,-0.19721,-0.13846,0.12176,0.010872,0.22569,-0.19877999999999998,-0.17069,0.10613,0.046025,-0.1704,-0.17989000000000002,-0.32059,0.051029000000000005,-0.18079,0.088611,-0.21746,-0.11953,0.0127,6.1984,6.2745,6.4067,6.4428,6.4014,6.4867,6.3224,6.2494,6.4569,6.3260000000000005,6.2817,6.3458,6.3257,6.2249,6.4699,6.4228,6.2155,6.3874,6.2127,6.3503,6.3793,6.4623,6.4036,6.3435
29.660999999999998,22.1,29.348000000000003,18.913,21.894000000000002,23.623,19.326,21.73,21.509,23.594,17.217,25.945999999999998,21.291,27.162,23.453000000000003,19.865,25.009,23.881,20.214000000000002,20.951,23.191999999999997,18.172,26.581999999999997,23.855,135,108,102,144,180,38,34,147,76,37,105,156,109,106,157,92,49,110,167,174,189,96,179,104,-21.794,-24.354,-22.24,-22.86,-26.649,-21.151,-22.864,-23.415,-23.086,-30.803,-26.294,-19.964000000000002,-23.129,-22.855,-23.5,-21.654,-20.212,-23.28,-24.449,-17.121,-20.237000000000002,-20.118,-33.736999999999995,-26.61,8.5146,7.98,8.4798,7.8906,8.8944,8.4809,8.0224,8.5645,7.7043,8.6589,7.7834,8.0008,7.4251,8.9021,8.7621,8.1376,7.8708,8.4428,7.6473,8.3075,8.1886,7.8934,8.5324,8.9657,3.2154,2.8819,3.0838,2.6451,3.1721,2.7298,2.9489,2.6975,3.0619,3.6406,3.0777,3.0888,2.7789,3.0774,2.9508,2.4773,3.3316,2.9599,3.1496,2.4986,2.7245,2.6936,3.7598,3.0289,0.11008,-0.16667,0.31695,-0.15395999999999999,0.17365999999999998,0.046398,-0.12464000000000001,-0.076771,-0.065437,-0.30249000000000004,-0.2581,-0.13677999999999998,-0.14044,0.24151999999999998,-0.023201,-0.1059,0.13462000000000002,-0.090024,-0.34385,0.065567,0.19617,0.029214999999999998,-0.16460999999999998,0.0043663999999999994,6.3297,6.347,6.2636,6.386,6.3224,6.4106,6.3912,6.4791,6.2524,6.1549,6.3204,6.322,6.2667,6.3226,6.4242,6.3876,6.3379,6.2978,6.3055,6.5444,6.4337,6.525,6.0499,6.3149
24.186999999999998,19.34,22.180999999999997,26.263,24.774,20.078,20.473,22.162,19.761,19.529,25.194000000000003,23.484,18.87,24.234,16.908,23.651,18.885,20.279,17.502,24.905,20.045,23.271,27.323,27.46,59,162,164,161,181,191,86,60,28,117,169,38,113,112,38,193,50,66,123,126,32,13,186,8,-17.473,-24.936,-23.709,-21.639,-21.246,-27.12,-24.829,-20.43,-28.753,-21.206999999999997,-20.746,-17.738,-22.025,-20.680999999999997,-25.345,-18.684,-28.101,-25.254,-19.992,-17.641,-19.539,-20.165,-19.258,-21.281999999999996,7.3334,8.2507,8.3394,7.7698,8.3313,8.4455,8.4791,7.9477,7.8484,7.8239,8.2865,7.7781,8.2546,8.6726,8.3003,7.3549,8.0493,8.2313,7.6335,8.0604,7.7393,7.9541,8.1014,8.3725,2.8699,3.2854,3.0425,3.1817,2.6382,2.7379,2.7539999999999996,3.1427,3.2976,2.9953,2.7924,2.8013,2.489,2.8641,2.9119,2.9387,3.0982,3.0862,2.7417,2.7559,2.7497,2.8113,2.9883,3.0742,0.1563,-0.30946999999999997,-0.0032622,-0.047915,0.07079500000000001,-0.12694,-0.023931,0.32477,-0.29628000000000004,0.044317,0.11544000000000001,0.060901,0.018171,0.11529,-0.37537,0.064959,-0.06475299999999999,-0.23840999999999998,-0.32453000000000004,0.14317,0.15056,0.17563,0.24727,0.1156,6.3342,6.4067,6.4675,6.3137,6.3585,6.4113,6.3389999999999995,6.3623,6.2761,6.3698,6.3391,6.4179,6.4437,6.307,6.388,6.3538,6.2744,6.4091,6.4267,6.3984,6.3606,6.4478,6.3572,6.2655
19.874000000000002,18.23,22.055,24.136,17.179000000000002,21.749000000000002,20.823,23.426,20.787,22.514,22.09,18.738,25.691999999999997,19.805,20.055999999999997,18.093,26.684,17.320999999999998,27.713,25.566999999999997,20.831,22.939,20.317999999999998,22.006999999999998,142,190,122,179,154,140,150,89,67,24,95,175,59,106,117,45,151,38,114,184,149,156,109,40,-26.465999999999998,-20.603,-23.693,-21.843000000000004,-17.339000000000002,-18.724,-19.406,-18.596,-19.961,-24.291999999999998,-16.643,-25.486,-26.089000000000002,-21.686,-21.412,-22.711,-18.891,-27.956999999999997,-19.923,-31.44,-27.529,-25.182,-30.336,-22.318,8.4039,7.7363,8.8809,8.543,7.6763,8.2535,7.8834,7.572,7.4802,8.482000000000001,7.4474,8.7571,8.4653,7.5804,8.0976,8.0545,7.8166,8.2298,8.2334,8.9639,8.238,7.9193,8.2775,8.2779,3.0448,2.7539999999999996,2.8496,3.0128,2.3335,2.522,2.6034,2.8765,2.8251,3.1129,2.9872,2.863,3.1935,2.9751,2.3492,2.7139,3.6431,2.8494,2.9263,3.4557,3.1636,3.1964,3.5826,2.8141,-0.27331,-0.050520999999999996,-0.068734,0.12955,0.045222000000000005,-0.14693,0.12144,-0.010227,0.17484,-0.12933,0.075535,-0.16005,0.16153,-0.014584,-0.18745,-0.20060999999999998,0.49486,-0.10927,-0.069466,-0.3009,0.0016524999999999999,-0.12150999999999999,-0.42268,0.06336900000000001,6.2743,6.4106,6.3463,6.3366,6.4988,6.5387,6.4458,6.2785,6.3191,6.4265,6.3372,6.4842,6.2745,6.3044,6.5016,6.4701,6.235,6.4036,6.3829,6.2654,6.2206,6.2963,6.3063,6.3694
26.24,21.139,23.023000000000003,25.915,20.725,17.305,20.322,23.184,19.044,24.085,19.095,17.022000000000002,22.57,21.925,22.454,19.684,17.383,24.566999999999997,24.928,21.836,24.344,21.828000000000003,19.817,18.137999999999998,94,188,78,149,157,8,104,200,47,108,85,82,182,180,19,63,70,52,1,55,197,15,36,189,-20.285999999999998,-22.732,-24.105,-19.867,-22.627,-24.246,-22.845,-17.391,-24.194000000000003,-17.779,-19.212,-19.76,-20.664,-23.416,-28.116,-17.134,-18.292,-20.226,-18.747,-22.524,-19.722,-26.703000000000003,-26.124000000000002,-23.750999999999998,7.7005,8.3912,8.0259,7.5589,8.7432,7.8432,8.1192,7.9934,7.6045,7.5659,7.9768,7.4133,8.0369,8.3935,8.8353,7.5303,7.718999999999999,8.0896,7.7926,8.4469,7.445,8.2654,8.6165,7.9961,3.1867,3.1301,3.4499,3.3101,2.721,3.1523,2.5898,2.6232,3.0063,3.1053,2.6125,2.8143,2.8006,3.0711,3.2872,2.5663,2.5268,2.8647,2.8058,2.8032,3.2592,3.2477,2.8324,2.8176,0.06155700000000001,-0.21193,0.07511799999999999,0.2171,-0.048382,-0.345,-0.073288,0.2855,-0.14402,0.20290999999999998,0.09052,-0.0976,0.036712,0.15074,-0.079811,0.11067,0.029176999999999998,0.045642,-0.017136000000000002,0.24722,0.20633,-0.014731000000000001,-0.19279000000000002,-0.18001,6.2332,6.4865,6.2619,6.2379999999999995,6.436,6.3055,6.3918,6.4413,6.3155,6.343,6.5992,6.36,6.4498,6.3696,6.2148,6.5497,6.4891,6.4404,6.3465,6.4741,6.2673,6.2368,6.393,6.335
21.096999999999998,19.432000000000002,25.971,21.842,21.025,31.013,22.398000000000003,18.357,19.528,22.289,22.473000000000003,22.351,18.539,21.929000000000002,27.991999999999997,22.784000000000002,26.415,29.278000000000002,32.821999999999996,21.787,19.383,19.917,21.143,18.999000000000002,128,116,94,142,127,144,105,103,68,116,103,189,182,86,133,151,126,20,98,23,81,175,105,197,-21.904,-25.544,-24.428,-25.08,-21.368000000000002,-19.233,-17.256,-24.934,-18.355,-21.929000000000002,-23.55,-23.793000000000003,-19.295,-21.22,-22.324,-18.562,-20.515,-26.783,-25.302,-23.96,-25.359,-22.533,-21.433000000000003,-19.387,7.6309,8.1545,8.2707,8.501,7.8223,8.4413,7.6485,7.9073,8.0328,8.8319,7.4654,7.9483,7.65,7.9705,8.173,7.0795,7.8297,8.6164,8.2639,7.7425,8.2039,8.1546,8.201,7.6867,2.923,2.9433,3.5586,2.4861,2.8537,3.3654,2.4319,2.7799,2.4911,2.6991,3.0332,2.8962,2.6843,2.9049,3.1424,3.0044,3.1817,3.2754,3.8617,2.8434,2.8011,3.0260000000000002,2.7995,2.7531,-0.075958,-0.062220000000000004,0.2471,-0.03727,0.024662,0.31426,0.057083,-0.11494000000000001,0.04086,0.094528,0.12326,0.020804,-0.0061247,-0.098453,0.11392000000000001,0.087702,0.086624,-0.053892999999999996,-0.078915,0.005749,-0.032161,-0.11481,-0.048373,-0.14955,6.309,6.3439,6.2249,6.317,6.3831,6.2565,6.5165,6.4218,6.4928,6.4018,6.263,6.314,6.4598,6.376,6.2212,6.3279,6.2988,6.1351,6.085,6.3660000000000005,6.4531,6.516,6.3808,6.489
19.775,19.523,19.072,16.72,25.433000000000003,19.383,20.886999999999997,24.225,17.758,27.564,25.135,20.009,21.029,21.372,18.658,22.098000000000003,22.06,18.167,18.789,23.108,21.709,25.805,21.59,20.451,14,100,170,56,26,126,187,12,192,115,49,159,189,32,197,106,73,64,163,130,113,109,148,146,-22.462,-23.237,-22.799,-24.576999999999998,-23.276999999999997,-23.228,-20.988000000000003,-19.805999999999997,-20.909000000000002,-23.761999999999997,-18.465,-19.727999999999998,-23.531,-23.043000000000003,-21.736,-21.647,-22.734,-23.098000000000003,-20.171,-20.174,-18.067,-20.837,-19.755,-18.22,8.1983,8.1583,7.6029,7.5418,8.8977,7.8375,7.962999999999999,8.0032,7.2523,7.9873,8.0942,8.1894,8.2739,8.3143,8.4906,7.5976,7.6361,8.2088,8.1488,8.2091,7.5667,8.4425,8.1798,8.5877,2.9601,2.8266,2.978,2.8839,2.5759,3.0686,2.9587,2.8205,2.8905,3.7876,2.7022,2.641,2.9177,2.7361,2.5563,2.8254,3.0558,2.5977,2.5589,2.9203,2.7207,2.8379,2.6556,2.3934,0.10851,-0.22316,-0.17790999999999998,-0.066097,0.0082249,-0.29038,-0.2523,0.073056,-0.040711000000000004,0.21306,0.23421,-0.0021908,-0.04906,-0.19399,-0.11260999999999999,-0.073812,0.04439,-0.11267,-0.18595,-0.023333,0.015054,0.20761999999999997,0.099313,0.031824,6.4521,6.4357,6.398,6.3937,6.4465,6.3424,6.4752,6.3549,6.3127,6.2335,6.4157,6.5865,6.3467,6.3539,6.497999999999999,6.3135,6.4237,6.4137,6.5892,6.4636,6.3955,6.3214,6.3355,6.6111
19.035999999999998,17.633,21.12,22.728,22.017,17.794,22.572,25.148000000000003,30.081999999999997,22.018,25.401999999999997,22.343000000000004,30.288,21.122,22.500999999999998,23.497,21.604,24.718000000000004,20.264,28.781999999999996,18.858,21.078000000000003,19.983,19.225,135,58,58,73,3,53,72,10,166,61,166,26,17,10,5,101,61,157,135,76,102,62,194,54,-19.666,-28.379,-26.204,-32.348,-23.686,-20.224,-24.389,-19.444000000000003,-20.802,-25.843000000000004,-25.599,-23.984,-27.631,-22.122,-22.486,-20.725,-23.588,-19.799,-22.505,-31.7,-22.592,-23.343000000000004,-23.136,-23.537,7.9015,8.1693,8.5444,8.5038,8.2396,7.8133,7.8762,7.7014,8.2873,8.5764,8.748,8.5061,9.029,8.2546,8.1033,7.8265,8.3393,8.4081,8.3676,8.3623,8.5047,8.7996,7.3153,7.8302,2.6495,3.4648,2.9948,3.6412,3.1019,2.5878,2.9725,3.2127,3.6911,2.6515,3.2571,2.7032,3.3988,2.9693,3.3204,3.1998,3.0479,2.957,2.5881,3.9439,2.3661,2.6848,3.1185,2.7383,-0.10754000000000001,-0.40984,0.049849,-0.28057,-0.2653,-0.18942,0.031702,-0.041214,0.30756,0.069867,0.16592,-0.042658,-0.031936,0.044518,-0.07381900000000001,0.081213,0.1018,0.24716,0.13422,-0.040206,0.060901,-0.046635,-0.17582,-0.05361799999999999,6.4869,6.3552,6.3092,6.2065,6.2614,6.5003,6.2927,6.2625,6.1772,6.4154,6.2379999999999995,6.433,6.2907,6.4398,6.3029,6.2388,6.3585,6.4398,6.4404,6.106,6.358,6.4396,6.2897,6.4226
