Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Max_9,Max_10,Max_11,Max_12,Max_13,Max_14,Max_15,Max_16,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Min_11,Min_12,Min_13,Min_14,Min_15,Min_16,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,RMS_9,RMS_10,RMS_11,RMS_12,RMS_13,RMS_14,RMS_15,RMS_16,Kurtosis_1,Kurtosis_2,Kurtosis_3,Kurtosis_4,Kurtosis_5,Kurtosis_6,Kurtosis_7,Kurtosis_8,Kurtosis_9,Kurtosis_10,Kurtosis_11,Kurtosis_12,Kurtosis_13,Kurtosis_14,Kurtosis_15,Kurtosis_16,Skew_1,Skew_2,Skew_3,Skew_4,Skew_5,Skew_6,Skew_7,Skew_8,Skew_9,Skew_10,Skew_11,Skew_12,Skew_13,Skew_14,Skew_15,Skew_16,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16
21.064,24.08,21.866,25.796,24.840999999999998,27.559,31.496,25.171,25.601999999999997,23.108,30.052,25.473000000000003,21.697,26.6,27.17,22.78,78,159,163,58,184,53,51,190,4,138,135,49,135,193,103,100,-22.108,-27.607,-27.975,-30.750999999999998,-22.686999999999998,-23.864,-24.596,-23.488000000000003,-25.241,-19.535,-24.829,-30.435,-25.875999999999998,-24.054000000000002,-25.515,-22.374000000000002,10.074,9.6401,9.7104,9.972999999999999,9.707,9.6031,10.161,9.1837,9.9205,8.9981,9.8891,9.9051,9.5127,10.661,9.7219,9.0079,2.381,2.9207,2.7336,3.3804,2.7187,2.7492,2.8092,2.6587,2.6567,2.4797,2.9447,2.7951,2.9251,2.4915,2.716,2.7975,0.00045534,-0.079712,-0.18316,-0.18263,0.11639000000000001,0.08201599999999999,0.17126,-0.028734,0.068311,-0.072635,-0.054304,-0.11310999999999999,-0.23581,0.085965,-0.19783,0.07872,5.4248,5.1302,5.1841,5.0406,5.279,5.1509,5.1024,5.1705,5.1721,5.2836,5.0045,5.1114,5.2402,5.3301,5.1381,5.2852
23.443,23.791,24.962,25.487,24.675,27.301,21.252,27.553,26.88,29.131,21.622,32.755,29.996,25.441999999999997,32.658,24.189,50,129,21,85,94,183,122,176,23,64,157,65,140,83,43,180,-21.898000000000003,-28.653000000000002,-24.603,-22.69,-26.449,-29.392,-26.413,-30.561999999999998,-31.171999999999997,-27.68,-26.9,-24.175,-27.476999999999997,-27.078000000000003,-29.671,-21.718000000000004,9.2244,9.3845,9.7769,10.789000000000001,9.0169,10.282,9.6117,9.5531,9.8857,9.8355,9.5215,9.7186,10.292,9.9402,10.046,9.1606,2.6319,2.8435,2.5238,2.5054,3.2291,3.0534,2.8441,3.2745,3.2884,2.9287,2.8345,2.9628,3.0891,2.8694,3.3556,3.113,-0.066469,-0.033163,0.06274400000000001,0.011936,0.053954999999999996,-0.10628,-0.14848,-0.17221,0.07202,0.16956,-0.26285,0.2112,0.1254,-0.14837,-0.1115,-0.36507,5.2379,5.0876,5.1801,5.3687,5.0447,5.1206,5.2715,5.0073,4.9411,5.0731,5.1768,5.0505,5.0868,5.16,4.9204,5.2577
27.491999999999997,24.619,26.372,31.929000000000002,25.191,32.625,35.374,26.619,28.705,23.849,25.14,32.042,34.967,33.704,25.706999999999997,29.180999999999997,148,192,29,183,69,42,199,121,17,66,193,8,153,14,117,181,-26.729,-25.425,-24.482,-27.243000000000002,-21.601,-31.125999999999998,-23.93,-31.895,-32.166,-22.355,-24.982,-26.965,-27.698,-25.778000000000002,-30.503,-26.394000000000002,9.8668,8.8306,9.9781,9.6987,10.109,10.862,9.5658,10.765999999999998,10.69,9.4708,9.981,10.64,9.705,10.113999999999999,9.6346,10.620999999999999,2.8971,3.2596,2.8198,3.9603,2.3771,3.1852,3.2043,2.9303,2.8637,2.7247,2.5714,3.2197,3.3527,3.0046,3.2516,2.7956,-0.060979,-0.21385,-0.21758000000000002,-0.20194,0.09661900000000001,0.19329000000000002,0.33905,-0.15145,-0.18462,0.15652,-0.053732,0.1209,0.2201,0.063937,0.087528,0.12168,5.1013,5.0783,5.186,4.8551,5.3277,5.0475,4.851,5.0777,5.0488,5.2439,5.2397,5.0896,4.8577,5.04,4.9944,5.1805
24.359,23.581,36.348,28.225,26.956,26.358,25.068,26.531,27.363000000000003,29.741999999999997,29.579,22.406999999999996,26.505,21.732,30.281999999999996,27.039,108,58,118,86,195,122,20,92,112,78,40,61,176,121,187,82,-30.951999999999998,-27.826,-22.182,-26.112,-30.914,-30.918000000000003,-19.633,-25.353,-25.776,-25.191,-23.949,-31.166999999999998,-25.276,-23.395,-27.894000000000002,-22.854,10.397,8.9608,10.306,9.6574,10.175,9.7957,9.3125,9.0931,9.3936,10.185,9.7677,9.6703,10.123,9.2629,9.4897,10.745,2.54,2.8183,3.2925,2.7227,2.7954,3.2432,2.5073,2.9967,3.1181,3.1155,2.7259,3.1821,2.9837,2.7614,2.9103,2.6053,0.061461,0.032178,0.35033000000000003,-0.08821699999999999,0.0085335,0.035913,0.20234000000000002,0.035361000000000004,0.20539000000000002,0.19504000000000002,0.090188,-0.25011,0.26156999999999997,0.23196999999999998,0.017558,0.049836,5.1665,5.0401,5.0143,5.0374,5.0845,4.9932,5.3052,5.0513,5.0068,5.0798,5.06,5.1093,5.2442,5.2885,4.9419,5.3505
24.801,30.980999999999998,26.92,30.363000000000003,35.038000000000004,27.719,30.377,23.36,24.576999999999998,24.986,21.621,27.965,27.818,26.864,25.476999999999997,28.892,99,73,58,108,85,70,5,16,80,156,49,189,26,138,185,166,-29.83,-27.785999999999998,-22.968000000000004,-25.186,-28.798000000000002,-23.043000000000003,-24.098000000000003,-26.844,-27.31,-23.159000000000002,-28.629,-20.475,-23.654,-31.116999999999997,-23.087,-34.089,9.6243,10.15,9.3276,10.401,9.6771,9.6383,10.174,9.264,10.19,9.0853,9.885,9.4795,10.630999999999998,10.227,9.5964,9.6927,3.1523,2.9096,2.847,2.8411,3.4124,2.7276,2.6966,2.8104,3.0079,2.6847,2.8232,2.8642,2.5079,2.7708,2.7447,3.3712,0.00073165,-0.11807000000000001,0.095489,0.07395800000000001,0.2805,0.050855000000000004,-0.050294,-0.013354,-0.062355999999999995,-0.084779,-0.33592,0.4595,0.052798000000000005,-0.15581,0.097721,-0.1805,5.0609,5.0231,5.1838,5.1208,4.8658,5.1149,5.156000000000001,5.1297,5.2173,5.1604,5.2168,5.1292,5.2904,5.0793,5.2445,4.8978
26.36,31.386999999999997,25.309,20.462,28.838,24.285999999999998,27.09,22.108,22.725,21.686,30.831999999999997,31.046,23.206999999999997,32.325,27.636999999999997,23.414,183,73,174,141,121,58,79,50,96,186,106,68,19,67,168,187,-31.287,-23.311,-27.564,-26.401999999999997,-21.993000000000002,-27.419,-27.965999999999998,-26.936,-28.174,-27.5,-23.035999999999998,-26.55,-22.325,-29.899,-25.5,-28.211,9.6778,9.7221,10.267999999999999,9.73,9.3764,10.21,10.245999999999999,9.6699,9.5376,9.5355,9.1359,9.7291,9.5207,10.529000000000002,9.6778,9.86,3.4605,3.4106,2.6063,2.4102,3.0776,2.9001,2.4689,2.5632,2.9244,2.7929,3.214,3.0058,2.5983,3.2101,3.1765,2.7658,-0.21003000000000002,0.38291,0.037492000000000004,-0.035789999999999995,0.3096,-0.26848,-0.030807,-0.21055,-0.066308,-0.021963999999999997,0.24022,0.18549000000000002,0.061355999999999994,0.14022,0.056237,-0.066464,4.9538,5.0521,5.1638,5.2483,5.1556,5.2177,5.0957,5.235,5.1707,5.1928,4.9744,5.0194,5.2049,5.0088,5.0954,5.2234
26.601,21.726999999999997,44.519,24.296999999999997,26.104,25.247,30.656999999999996,30.641,21.825,29.651999999999997,24.456999999999997,24.299,25.964000000000002,36.147,34.809,29.122,185,99,163,184,123,143,60,51,163,94,169,91,114,191,178,197,-19.711,-29.349,-30.105,-23.035,-26.419,-26.361,-22.421,-20.348,-26.295,-24.480999999999998,-35.005,-26.07,-26.453000000000003,-31.677,-25.318,-25.863000000000003,9.5548,9.8237,10.296,9.032,10.357000000000001,9.8068,9.6519,9.9179,9.7545,10.695,9.7981,9.5208,9.5242,10.677999999999999,10.324000000000002,9.7366,2.6018,2.7667,4.2728,2.9618,2.5434,2.7055,2.9010000000000002,2.5971,2.8068,2.5586,3.7321,2.9276,2.775,3.2310000000000003,3.3055,3.0644,0.084047,-0.25203000000000003,0.3682,-0.065975,-0.038096,-0.060501,0.20238,0.1033,0.029352,0.012133,-0.34574,-0.024599,-0.057384000000000004,-0.013759,0.27321999999999996,0.0049357,5.295,5.1515,4.7383,5.1434,5.2428,5.1752,5.096,5.2258,5.2198,5.2425,4.9695,5.1562,5.0034,4.8918,5.0023,5.0408
34.359,21.691999999999997,25.983,24.107,28.965999999999998,19.16,33.143,23.101,26.13,26.835,38.832,28.569000000000003,25.177,27.889,24.996,26.116999999999997,22,174,86,135,112,143,127,3,106,135,196,76,5,102,134,95,-24.91,-31.703000000000003,-26.151999999999997,-26.478,-32.162,-28.491,-23.682,-20.653000000000002,-26.82,-27.467,-27.521,-21.986,-25.195999999999998,-27.656,-25.159000000000002,-24.649,9.6443,9.4296,9.7342,9.5525,10.202,9.4288,9.4871,9.1984,9.9541,9.6529,9.5776,9.436,9.7455,10.089,9.4263,9.1432,3.4193,3.0759,2.9712,2.6298,3.3957,2.6679,3.2287,2.4559,2.7298,2.9943,4.0422,2.8458,2.3481,2.8271,2.8699,2.7399,0.2173,-0.31369,-0.061475999999999996,-0.094019,-0.055188,-0.15950999999999999,0.20002999999999999,0.040111,-0.17148,0.011139,0.33193,0.14211,0.014085,0.015250999999999999,-0.019476,-0.0028252,4.8822,5.0792,5.0975,5.1898,5.0356,5.16,4.9993,5.2948,5.1947,5.0563,4.7629,5.1121,5.1272,5.125,5.087,5.1376
27.994,27.369,24.423000000000002,24.048000000000002,26.747,23.871,24.263,21.586,18.143,23.919,28.116999999999997,23.564,24.267,22.394000000000002,21.081,34.295,58,119,32,68,113,165,97,59,137,12,179,135,41,94,127,124,-23.576999999999998,-23.625,-31.206,-27.476,-38.262,-25.910999999999998,-31.066999999999997,-26.9,-23.438000000000002,-23.078000000000003,-23.718000000000004,-22.494,-29.254,-28.02,-25.566999999999997,-26.578000000000003,10.219,9.9659,9.7489,10.238999999999999,9.9497,9.5811,9.5745,9.6571,9.1732,9.9013,9.6321,9.176,10.709000000000001,9.8429,9.5257,10.517000000000001,2.6281,2.8941,3.2817,2.6992,3.818,2.8053,3.3249,2.5645,2.4951,2.6205,2.8195,2.7017,2.4575,2.8819,2.7333,3.073,0.07721,0.048186,-0.11115,0.0081166,-0.39426,-0.13395,-0.20254,-0.14132999999999998,-0.07569,-0.1099,0.15236,0.22357,0.079164,-0.22776999999999997,-0.006002899999999999,-0.009826600000000001,5.2431,5.1439,5.0979,5.2254,4.8726,5.1612,5.0114,5.2833,5.4224,5.2112,5.1274,5.2139999999999995,5.2355,5.2277,5.3123,5.0391
25.999000000000002,26.424,33.747,21.673000000000002,26.429000000000002,25.546,23.444000000000003,26.24,27.943,35.5,23.011999999999997,31.1,26.587,27.864,26.095,30.355,4,125,18,167,13,103,99,168,66,7,149,107,96,189,25,169,-34.723,-24.773000000000003,-36.086,-24.49,-28.872,-38.498000000000005,-34.084,-28.049,-30.868000000000002,-29.737,-27.274,-28.588,-25.32,-23.737,-30.578000000000003,-26.555,9.5761,9.8053,9.7706,9.4301,9.0356,10.335,10.478,10.288,10.046,10.086,9.7024,10.245999999999999,9.9123,10.15,9.6843,9.3422,3.4979,2.8304,4.1803,2.7430000000000003,3.2652,3.1847,3.2089999999999996,2.7971,3.017,3.3841,2.6312,2.8547,2.8371,2.5721,2.9484,3.4146,-0.26100999999999996,0.045597000000000006,0.11133,-0.15141,0.23039,-0.16216,-0.18582,0.10472999999999999,0.024304,0.19294,-0.093113,0.064583,0.14398,-0.057624,0.043965,0.17353,4.9357,5.1892,4.7916,5.231,4.9544,4.9736,5.109,5.1708,4.9802,4.8306,5.1971,5.0415,5.1388,5.1925,5.0213,4.9587
24.105999999999998,25.634,22.578000000000003,35.815,23.56,28.552,29.075,24.573,26.217,27.36,24.384,30.63,30.055999999999997,21.774,24.855,23.281999999999996,143,146,81,89,102,197,75,182,67,57,12,72,66,153,57,161,-25.595,-37.066,-23.299,-21.104,-35.101,-25.194000000000003,-24.906,-27.570999999999998,-36.673,-30.191,-25.538,-24.392,-27.728,-22.668000000000003,-31.839000000000002,-22.123,9.2571,9.2674,9.4882,9.7026,10.425,10.807,9.9196,10.477,9.7059,9.811,9.6951,10.603,9.7701,9.5736,10.45,9.8021,2.9616,3.8802,2.8855,3.1043,3.0033,2.8236,2.8828,2.957,3.843,3.2937,2.7929,3.36,3.1718,2.4007,2.8708,2.3447,0.067173,-0.12611,-0.23586999999999997,0.39798,-0.071726,0.030889,0.16696,-0.16359,0.0031985,-0.30881,-0.26356999999999997,0.49799,-0.047781,0.13643,-0.33937,-0.065684,5.145,4.7674,5.2382,5.0054,5.004,5.239,5.0711,5.1818,4.8758,5.0132,5.2057,5.0968,5.0627,5.3119,5.1156,5.3558
