Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Max_9,Max_10,Max_11,Max_12,Max_13,Max_14,Max_15,Max_16,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Min_11,Min_12,Min_13,Min_14,Min_15,Min_16,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,RMS_9,RMS_10,RMS_11,RMS_12,RMS_13,RMS_14,RMS_15,RMS_16,Kurtosis_1,Kurtosis_2,Kurtosis_3,Kurtosis_4,Kurtosis_5,Kurtosis_6,Kurtosis_7,Kurtosis_8,Kurtosis_9,Kurtosis_10,Kurtosis_11,Kurtosis_12,Kurtosis_13,Kurtosis_14,Kurtosis_15,Kurtosis_16,Skew_1,Skew_2,Skew_3,Skew_4,Skew_5,Skew_6,Skew_7,Skew_8,Skew_9,Skew_10,Skew_11,Skew_12,Skew_13,Skew_14,Skew_15,Skew_16,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16
9.2668,13.099,10.761,9.7252,6.9796,7.5518,9.5453,10.539000000000001,10.534,8.5685,8.0962,8.0198,9.0152,9.3435,7.2,9.5057,139,58,15,193,165,188,51,27,171,73,63,61,138,30,8,61,-8.693,-9.3157,-7.7747,-9.1454,-7.3506,-9.2057,-8.9738,-10.133,-10.08,-9.3796,-9.5366,-9.3237,-8.5951,-8.7408,-8.9434,-13.311,3.1046,3.543,3.1221,3.2982,3.1607,3.5443,3.4489,3.2186,3.3879,3.5455,3.2522,3.2546,3.6087,3.3121,3.0259,3.3951,3.1464,3.7987,3.4269,2.9354,2.3649,2.6121,2.6073,3.2406,3.1312,2.5329,3.0885,2.4219,2.717,2.8328,2.9408,3.7768,0.058477999999999995,0.30318,0.28328000000000003,0.082324,-0.048708999999999995,0.007506399999999999,0.044782,-0.17443,0.040728,0.059926,-0.1925,0.057490999999999993,0.017072,-0.010740000000000001,-0.23348000000000002,-0.20728000000000002,6.5493,6.3755,6.4942,6.4788,6.7003,6.6334,6.6016,6.4416,6.4061,6.7148,6.5191,6.6065,6.6365,6.5593,6.6192,6.3249
8.8795,6.7629,8.3266,8.6409,9.2516,9.3288,8.7022,9.0182,8.1022,8.1523,8.2508,10.460999999999999,6.9623,8.015,8.5597,8.8108,59,33,183,51,139,12,171,59,78,69,100,167,127,11,114,103,-7.3797,-7.691,-8.0886,-7.8505,-6.9763,-8.3774,-9.6945,-9.0654,-8.6616,-9.1718,-6.5307,-7.7764,-8.6573,-7.7629,-7.4865,-9.0518,3.1430000000000002,3.1786,3.3753,3.1637,3.1505,3.2463,3.1179,3.217,3.1653,3.1832,3.2454,3.2396,3.3054,3.2687,3.0186,3.5458,2.7909,2.5505,2.4953,2.9811,2.8213,3.1338,2.9979,2.6783,3.0295,3.0666,2.4667,3.1807,2.6366,2.7112,2.9215,2.7575,0.017108,0.081188,-0.048155,-0.031915,-0.16215,0.21659,-0.19682,-0.049444,-0.26545,-0.16297999999999999,0.08589,0.19555,-0.08364400000000001,0.12227,0.047408,-0.024775,6.6785,6.8262,6.6347,6.6511,6.6911,6.5944,6.6341,6.5887,6.5485,6.686,6.761,6.4457,6.6006,6.5854,6.5339,6.5368
8.5355,8.3473,8.5846,8.472000000000001,8.9301,11.162,9.2856,7.1502,8.7188,7.6709,7.5328,10.282,11.270999999999999,6.4991,8.4245,9.1167,110,167,3,144,103,132,167,44,106,16,93,168,146,130,59,174,-8.9325,-8.844,-6.3256,-9.5641,-10.02,-9.2426,-8.589,-10.195,-12.568,-7.1074,-8.0044,-8.4057,-12.623,-7.74,-8.8724,-9.8481,3.5647,3.5665,2.8705,3.3272,3.3609,3.5804,3.4063,3.0047,3.57,3.2127,3.2595,3.3288,3.5528,3.2515,3.3971,3.4762,2.6807,2.5327,2.6758,2.7599,3.3048,3.2084,2.853,2.8579,3.5808,2.4619,2.7979,3.1161,3.2885,2.3349,2.5331,3.0094,-0.10145,0.13352999999999998,0.12007999999999999,0.11689000000000001,-0.019318000000000002,0.16692,-0.11993,-0.18211,-0.34779,0.053221000000000004,0.073259,0.098477,0.094612,-0.18312,-0.05574400000000001,-0.16104000000000002,6.5941,6.6659,6.6197,6.5804,6.5118,6.5587,6.5882,6.5898,6.4247,6.6967,6.6160000000000005,6.5242,6.4741,6.6221,6.6379,6.5949
8.2262,8.5455,6.7383,9.2749,8.5803,9.6215,8.71,9.4639,9.101,7.6448,9.6669,7.8125,6.9005,9.5452,7.5765,9.6265,57,11,86,155,149,123,103,62,142,145,72,95,145,112,112,189,-7.8426,-9.2704,-10.192,-7.7717,-10.284,-9.4011,-7.8912,-12.970999999999998,-7.153,-7.565,-8.1803,-8.4569,-9.302,-7.8216,-8.1381,-8.3911,3.0754,3.5941,2.9541,3.052,3.4755,3.5682,3.2917,3.6132,3.1362,3.2423,3.325,3.3266,3.0929,3.5315,3.4984,3.36,2.5813,2.7652,3.3395,3.25,2.6356,2.637,2.5161,3.6633,2.7395,2.7214,2.9428,2.5616,2.8335,2.66,2.4252,2.8863,0.1145,0.062247000000000004,-0.21502,0.23016999999999999,-0.030388,0.17654,0.18753,-0.25703000000000004,0.050302,-0.18339,0.23155,-0.077942,-0.19867,0.16521,0.15391,0.16233,6.6242,6.7297,6.4965,6.5011,6.5865,6.6711,6.5498,6.3806,6.662999999999999,6.5368,6.6029,6.5635,6.6961,6.6439,6.6879,6.6598
8.2182,7.9962,10.595,11.421,9.0431,9.9622,8.7594,8.9009,10.094,8.2515,8.7654,9.0353,10.47,7.909,7.7162,7.3313,136,18,157,109,87,47,36,182,125,148,189,26,93,60,3,89,-8.06,-7.3988,-9.1663,-7.5777,-8.3159,-8.3564,-10.068999999999999,-7.8619,-10.592,-9.8034,-9.3315,-9.3044,-13.032,-9.7797,-9.1868,-8.7268,3.3758,3.1923,3.1354,3.2615,3.4479,3.1661,3.3619,3.6628,3.3319,3.1889,3.5544,3.636,3.6467,3.5343,3.5177,3.2016,2.7274,2.4457,3.9312,3.2969999999999997,2.7324,3.9138,2.9389,2.5931,3.4172,2.8401,2.7680000000000002,2.6247,3.5258,2.8397,2.6305,2.7463,-0.037267,0.32139,0.3662,0.33951,-0.12732000000000002,0.24383000000000002,-0.22791,0.0184,0.057929999999999995,0.040239,0.035894,0.11141,-0.19372999999999999,-0.20312,0.015885,-0.085717,6.7125,6.7170000000000005,6.376,6.5298,6.6984,6.4555,6.5677,6.7728,6.4674,6.5372,6.5423,6.6149,6.4906,6.6521,6.7008,6.6054
8.2065,8.5317,8.6565,8.7631,7.6457,10.615,7.8397,8.4817,8.3649,8.2639,8.6426,7.4043,8.1129,9.2183,9.6726,8.7605,170,61,188,84,102,4,33,19,197,179,60,85,44,59,92,61,-9.1623,-8.1118,-7.8444,-8.7802,-10.537,-8.7752,-7.3246,-9.7556,-9.5832,-10.850999999999999,-8.8412,-8.0288,-9.1908,-9.6052,-9.2257,-7.5422,3.3145,2.9785,3.2974,3.1318,3.0955,3.4476,3.0182,3.1155,3.3259,3.2787,3.2258,3.228,3.4227,3.3392,3.5416,2.9582,3.1258,3.0012,2.7110000000000003,3.0839999999999996,3.2678,3.1515,2.6973,2.9009,2.7638,3.2797,3.076,2.5756,2.6857,3.0439,2.8884,3.0137,-0.26948,0.17587,0.14337,0.26536,-0.34406,0.15742,-0.06642,-0.040572000000000004,-0.047118,-0.28312,-0.21068,-0.1946,-0.1974,-0.010553,0.038373000000000004,0.070751,6.5533,6.5593,6.7716,6.5854,6.3839999999999995,6.558,6.6211,6.5518,6.5886,6.5374,6.545,6.636,6.7216,6.4275,6.6443,6.6341
10.113999999999999,9.7731,9.0246,10.919,6.8923,8.0056,8.9572,9.604,8.3613,8.5177,9.4083,7.5205,7.9717,9.3141,9.9291,7.4227,87,138,200,171,49,33,149,125,34,108,187,46,4,147,40,60,-9.1538,-8.4942,-8.9027,-8.457,-7.9745,-9.7715,-10.55,-8.9664,-8.8687,-9.06,-7.7226,-8.9901,-7.7896,-7.7219,-7.4052,-8.149,3.2652,3.096,3.2539999999999996,3.2007,2.7814,3.2405,3.4392,3.5842,3.3257,3.2626,3.3545,3.173,3.4443,2.9132,3.5471,3.3373,3.1622,3.352,3.1137,3.2921,2.9994,2.9478,2.8728,2.8133,2.4802,2.7786,2.7703,2.7943,2.4327,3.0172,2.674,2.5124,0.0878,0.33314,0.10867,0.002224,-0.15275999999999998,-0.1692,-0.095888,0.0049752,-0.031439,-0.03329,0.32755,-0.11652,0.13915999999999998,0.19438,0.090752,0.012117000000000001,6.4972,6.4898,6.5409,6.4728,6.5621,6.5242,6.5013,6.5993,6.723,6.5649,6.593,6.7172,6.7343,6.5237,6.6711,6.6921
9.1822,9.294,9.8213,9.4973,8.4475,9.982000000000001,8.8416,9.5118,8.9245,9.9656,10.401,6.6135,11.319,9.5715,6.3881,9.0069,170,78,88,36,117,10,59,157,197,182,3,58,28,81,49,174,-11.513,-10.42,-8.6119,-7.2752,-9.7354,-11.227,-8.1057,-10.325,-8.4368,-9.3313,-9.4808,-8.4441,-10.543,-8.8449,-7.8628,-8.5166,3.3209,3.4841,3.3616,3.5102,3.3352,3.6737,3.3701,3.529,3.0821,3.2173,3.5547,3.1993,3.6162,3.1923,3.1115,3.1779,3.6458,2.7826,2.9931,2.6178,2.9492,2.9815,2.6268,3.1116,2.7263,3.2155,2.84,2.3721,3.142,3.3371,2.4862,3.2928,-0.08716499999999999,-0.17539000000000002,-0.022928999999999998,0.19991,-0.2215,-0.03218,0.007482600000000001,0.070026,-0.059557000000000006,0.17593,-0.058707,-0.094082,0.050556,0.18882000000000002,0.08825,-0.011329,6.4189,6.5887,6.6244,6.5947,6.6141,6.492999999999999,6.7335,6.57,6.5354,6.4246,6.6598,6.7116,6.5347,6.4521,6.711,6.5474
9.8156,9.9784,8.4675,11.834000000000001,8.9569,7.3612,7.744,8.5036,8.8522,8.4514,8.7452,10.944,8.1874,9.4434,8.6995,10.481,172,26,59,143,116,144,71,99,139,23,162,185,5,148,59,73,-10.347999999999999,-8.9169,-9.1232,-10.123,-9.671,-11.149000000000001,-9.0976,-10.331,-7.641,-8.2778,-7.917000000000001,-8.9705,-8.7008,-7.2497,-8.7435,-8.5223,3.5965,3.408,3.2449,3.4144,3.2857,3.3625,3.3462,3.4365,3.2032,3.3016,3.1666,3.3023,3.3444,3.0895,3.2918,3.312,2.861,3.1622,2.8365,3.5388,2.9324,2.9037,2.4722,3.2007,2.6916,2.8911,2.8579,3.5331,2.6169,2.9684,2.6882,3.0428,0.03988,0.10005,-0.099071,0.3826,-0.30923,-0.22466999999999998,-0.1423,-0.14123,-0.085846,-0.12435,-0.015615,0.35466,0.016442,0.085674,0.15427000000000002,0.27073,6.5806,6.5869,6.6425,6.4113,6.5255,6.6335,6.6535,6.5367,6.6597,6.6169,6.6303,6.3901,6.6538,6.5760000000000005,6.6077,6.5736
6.2453,9.183,7.062,8.5372,8.7979,7.8767,7.575,7.6821,8.56,9.424,8.5292,8.9166,8.9118,10.037,8.2812,8.4616,16,57,154,193,49,17,133,191,171,150,71,181,62,2,107,188,-7.4566,-9.2661,-8.79,-9.1477,-8.4196,-11.533,-8.8157,-7.6039,-7.7969,-8.0745,-7.9335,-8.7585,-6.3022,-9.137,-6.5354,-10.591,2.8888,3.3779,3.1924,3.2536,3.0565,3.3337,3.2258,3.3026,3.0997,3.2499,3.2367,3.3202,2.9632,3.2927,3.2335,3.2833,2.6241,3.1375,2.8733,2.8769,3.3149,2.9542,2.6597,2.398,2.8735,2.6705,2.844,2.7304,2.5607,3.2296,2.4989,3.0819,-0.08095,0.18481,-0.27074000000000004,-0.054014,-0.23471,-0.081979,-0.031582,-0.00971,-0.078662,0.050857,0.11880999999999999,0.012114,0.011899,0.16429000000000002,-0.0096993,-0.1381,6.6574,6.5575,6.702999999999999,6.6136,6.5898,6.438,6.5987,6.7174,6.6672,6.5921,6.6716,6.5554,6.6635,6.4936,6.7243,6.5216
