Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Max_9,Max_10,Max_11,Max_12,Max_13,Max_14,Max_15,Max_16,Max_17,Max_18,Max_19,Max_20,Max_21,Max_22,Max_23,Max_24,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Min_11,Min_12,Min_13,Min_14,Min_15,Min_16,Min_17,Min_18,Min_19,Min_20,Min_21,Min_22,Min_23,Min_24,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,RMS_9,RMS_10,RMS_11,RMS_12,RMS_13,RMS_14,RMS_15,RMS_16,RMS_17,RMS_18,RMS_19,RMS_20,RMS_21,RMS_22,RMS_23,RMS_24,Kurtosis_1,Kurtosis_2,Kurtosis_3,Kurtosis_4,Kurtosis_5,Kurtosis_6,Kurtosis_7,Kurtosis_8,Kurtosis_9,Kurtosis_10,Kurtosis_11,Kurtosis_12,Kurtosis_13,Kurtosis_14,Kurtosis_15,Kurtosis_16,Kurtosis_17,Kurtosis_18,Kurtosis_19,Kurtosis_20,Kurtosis_21,Kurtosis_22,Kurtosis_23,Kurtosis_24,Skew_1,Skew_2,Skew_3,Skew_4,Skew_5,Skew_6,Skew_7,Skew_8,Skew_9,Skew_10,Skew_11,Skew_12,Skew_13,Skew_14,Skew_15,Skew_16,Skew_17,Skew_18,Skew_19,Skew_20,Skew_21,Skew_22,Skew_23,Skew_24,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16,Entropy_17,Entropy_18,Entropy_19,Entropy_20,Entropy_21,Entropy_22,Entropy_23,Entropy_24
12.245,16.2,13.276,14.323,12.443,11.870999999999999,16.741,14.28,14.144,11.198,12.783,11.353,11.235999999999999,15.684000000000001,10.923,11.299000000000001,11.19,15.82,14.582,12.615,12.293,10.92,12.548,12.960999999999999,174,53,47,61,114,31,58,169,61,128,64,185,61,189,96,61,69,180,61,14,23,106,53,192,-12.395999999999999,-16.408,-14.616,-13.227,-11.288,-9.0045,-14.08,-12.755999999999998,-15.255,-15.134,-14.315999999999999,-10.895,-14.220999999999998,-13.536,-16.079,-14.239,-13.200999999999999,-13.850999999999999,-15.775,-12.555,-11.735999999999999,-13.573,-14.267999999999999,-11.72,4.6106,5.3439,4.9244,4.7639,4.9095,4.4588,4.9819,5.1033,4.9338,4.8277,4.9079,4.8358,4.8261,4.523,4.6417,4.7491,4.8738,4.8445,5.2195,5.2456,4.63,4.6556,4.7549,5.004,3.0209,2.7741,2.9404,3.195,2.9235,2.4196,3.5414,2.5066,2.7287,3.2693,3.2166,2.36,2.7042,3.3702,3.2805,3.0761,2.8265,3.313,3.0022,2.5605,2.7332,2.9395,3.0838,2.4316,0.09548200000000001,-0.010293,0.051526999999999996,0.15788,0.22119,0.20272,0.36077,-0.12633,0.049604,-0.29723,-0.08002000000000001,0.13162000000000001,-0.15525999999999998,0.17953,-0.023056999999999998,-0.30294,-0.076057,0.07408300000000001,0.20949,0.075693,-0.07544,-0.16795,-0.046294999999999996,-0.09755,6.5334,6.5641,6.4928,6.4532,6.723,6.6582,6.5249,6.5792,6.5632,6.5515,6.5649,6.773,6.6405,6.377000000000001,6.5442,6.5916,6.7216,6.3921,6.5192,6.7443,6.5174,6.662999999999999,6.5528,6.6105
13.114,17.732,13.061,14.01,13.464,11.51,17.105,14.094000000000001,14.052999999999999,13.571,14.133,14.802,15.645999999999999,12.655,13.776,10.482000000000001,12.085999999999999,11.314,17.722,13.728,13.231,10.974,14.328,13.937000000000001,193,59,180,46,60,200,61,41,167,61,156,59,109,177,71,20,178,65,156,13,108,92,62,12,-15.554,-12.077,-13.493,-14.811,-11.860999999999999,-10.839,-9.9921,-10.34,-11.815,-14.442,-14.513,-11.759,-11.254000000000001,-13.76,-14.1,-16.432000000000002,-13.513,-14.667,-11.99,-13.956,-10.19,-12.727,-14.975,-14.113,5.1138,4.8811,5.1364,4.9768,4.638999999999999,4.611000000000001,4.6613,4.9672,4.9841,4.6265,4.8806,5.0026,5.1254,4.7977,5.0947,4.6392,4.9306,4.8602,4.8589,5.3625,4.7913,4.4336,4.6425,4.8152,3.3444,3.2269,2.8093,3.2074,2.7705,2.84,3.2441,2.6296,3.0537,3.3595,3.0768,3.0256,2.967,2.9961,2.9166,3.1445,2.7465,3.0846,3.1892,2.502,2.5876,3.0487,3.5739,3.1435,-0.11367999999999999,-0.09677899999999999,-0.21193,0.20121,0.088121,0.091193,0.46197,0.1092,0.27634000000000003,0.07274299999999999,0.0055284999999999996,0.099345,0.11882000000000001,-0.05552000000000001,0.061336,-0.29075,-0.057934000000000006,-0.175,0.31505,-0.017399,0.13902,-0.13899,0.063363,-0.19038,6.6609,6.4204,6.662999999999999,6.5544,6.5102,6.6285,6.5874,6.6225,6.5836,6.3999,6.5436,6.5449,6.606,6.5406,6.5836,6.5177,6.4875,6.4991,6.465,6.6497,6.7362,6.5636,6.4359,6.4894
14.458,13.482000000000001,13.48,12.495,14.762,10.844000000000001,12.475999999999999,11.647,12.873,12.67,14.835999999999999,14.186,14.251,13.507,13.39,12.056,14.019,15.614,10.267000000000001,13.519,14.932,14.825999999999999,14.345,13.203,129,8,7,60,58,61,118,113,125,155,159,31,63,86,62,127,38,17,34,64,12,121,143,103,-12.717,-11.975,-16.829,-13.637,-11.989,-11.333,-12.434000000000001,-15.017999999999999,-13.520999999999999,-14.991,-12.908,-16.738,-13.832,-14.817,-13.190999999999999,-15.446,-14.67,-13.379000000000001,-11.548,-14.071,-15.093,-13.036,-14.55,-12.302999999999999,4.9659,4.8031,4.9498,4.9298,4.9247,4.976,4.8224,4.7889,4.8755,5.0435,5.0089999999999995,4.5288,5.1581,4.9322,4.9719999999999995,4.9249,4.9988,4.8763,4.5229,4.9698,4.6781,4.9921,4.8966,5.0689,2.9198,2.7822,3.7579,2.7349,3.3546,2.3454,2.8365,3.0458,2.8883,3.2119,3.0164,4.4817,2.7496,3.1733,2.8589,3.1165,2.8085,3.5661,2.7583,2.6787,3.3219,2.8539999999999996,3.0945,2.9385,0.33099,0.20159000000000002,-0.13325,-0.21081,0.18372,-0.03216,-0.09849,0.098063,0.042456,-0.36643000000000003,0.26509,-0.15855999999999998,-0.042722,-0.10098,0.21975999999999998,-0.39075,0.025166,0.2947,0.15422,-0.072796,-0.099911,-0.011267000000000001,0.1057,0.25772,6.6308,6.6487,6.4104,6.6159,6.6041,6.7967,6.6074,6.4731,6.5536,6.5249,6.5504,6.3727,6.6435,6.4964,6.5979,6.4992,6.5316,6.5218,6.7525,6.5705,6.3767,6.6352,6.5269,6.6121
12.974,13.659,12.593,15.77,15.22,14.956,13.662,13.743,13.592,13.824000000000002,15.645999999999999,16.962,14.841,14.526,11.79,12.703,13.854000000000001,12.118,14.046,12.196,17.472,14.635,15.06,14.823,93,121,180,60,16,61,60,60,25,7,59,7,45,61,114,60,62,44,64,160,63,9,173,159,-12.434000000000001,-10.059,-12.699000000000002,-12.61,-11.739,-13.904000000000002,-12.33,-10.943,-13.171,-11.61,-13.172,-10.952,-14.459000000000001,-14.009,-12.884,-13.485,-13.337,-14.332,-13.138,-12.065,-12.774000000000001,-14.357000000000001,-12.44,-13.927999999999999,5.0978,4.6732,4.9535,5.2909,4.9551,4.7936,5.2332,4.9452,4.9694,4.9043,4.6923,4.7506,5.0127,5.0097,4.637,5.28,4.9358,4.9053,5.0513,4.8558,5.0538,4.7395,5.1358,4.9563,2.9218,3.1184,2.7438,3.2198,3.1024,3.2866,2.7567,2.465,2.9287,2.7772,3.3025,3.181,3.4426,3.0134,2.6430000000000002,2.6706,2.7033,2.8002,2.801,2.707,3.5297,3.3582,2.5711,3.0834,0.11782000000000001,0.24320999999999998,-0.0822,0.1876,0.10459,0.21568,-0.075526,0.14956,0.045848,0.15202000000000002,0.20981999999999998,0.1114,0.12869,-0.055415,0.00092556,0.10304,0.13635999999999998,0.12623,-0.035668,-0.061989999999999996,0.13849,0.11574000000000001,-0.0066041,-0.056687,6.5598,6.6167,6.7105,6.6479,6.4518,6.4186,6.6944,6.5979,6.6064,6.6639,6.4628,6.5526,6.5179,6.5455,6.5949,6.6336,6.4927,6.5625,6.5921,6.6321,6.4698,6.5118,6.7005,6.5309
12.703,12.22,13.495999999999999,13.414000000000001,11.492,14.33,17.248,12.823,12.779000000000002,12.415999999999999,12.488,17.006,11.690999999999999,11.815999999999999,15.894,13.47,12.404000000000002,13.33,14.235999999999999,12.998,13.634,15.91,16.422,12.582,36,175,13,73,35,59,89,62,13,136,161,142,50,60,112,63,142,105,37,109,62,67,1,163,-12.436,-15.648,-11.944,-14.072000000000001,-15.734000000000002,-10.93,-15.782,-12.159,-12.949000000000002,-14.562999999999999,-11.562999999999999,-12.828,-14.876,-15.710999999999999,-18.82,-11.619000000000002,-10.66,-13.743,-16.336,-11.507,-12.658,-12.054,-12.788,-13.585999999999999,4.6461,4.6188,4.5131,4.9430000000000005,4.8678,4.677,5.2721,4.689,4.8218,4.6768,5.0031,4.9899,4.6769,5.1546,4.8622,4.7592,4.7511,4.9026,4.6521,5.1043,5.1043,5.1906,4.6462,4.7206,2.9347,3.0186,3.2197,2.9194,2.8017,3.0687,3.247,2.8458,2.9037,2.8419,2.5363,3.2045,3.1715,2.8856,3.8529,2.7952,2.8424,2.892,3.5413,2.6553,2.9242,2.8064,3.4804,2.8342,0.13885999999999998,-0.032436,0.079968,0.16228,0.0061926,0.23289,-0.048242,0.13435999999999998,-0.026747000000000003,-0.07359500000000001,-0.1211,0.26034,-0.2134,-0.1769,-0.33512,-0.18617,0.44342,0.079693,-0.10997,0.066353,0.011117,-0.024063,0.090456,0.14273,6.5974,6.5021,6.5842,6.6008,6.497000000000001,6.4853,6.5204,6.5149,6.7816,6.6441,6.7372,6.534,6.4117,6.5903,6.3412,6.64,6.615,6.5969,6.4041,6.773,6.6069,6.5864,6.4532,6.5452
14.082,13.751,12.079,12.193,11.305,13.57,14.282,10.337,11.882,16.619,17.243,16.385,22.451,9.4438,17.003,16.937,14.845,12.431,13.940999999999999,10.700999999999999,14.88,13.399000000000001,11.439,13.231,139,60,60,19,178,40,58,82,60,122,30,61,60,50,31,75,62,61,63,178,8,4,27,23,-9.7338,-14.572000000000001,-15.831,-14.626,-11.38,-14.614,-13.026,-9.5679,-14.89,-12.609000000000002,-16.416,-9.8023,-13.163,-14.672,-13.77,-14.224,-12.755999999999998,-13.225,-14.276,-11.274000000000001,-12.088,-11.902000000000001,-11.394,-12.286,4.5629,5.0299,5.1276,4.9817,4.6871,4.9908,4.9232,4.4374,4.8238,5.2341,5.0257,4.5280000000000005,5.0988,4.7364,4.7544,4.9481,4.6078,4.728,5.0226,4.433,4.5829,4.5974,4.5778,4.9944,2.8173,3.2507,2.8671,2.7949,2.6739,2.9033,2.9374,2.5869999999999997,2.8491,3.4289,4.1467,3.555,4.5983,3.0341,3.7301,3.3575,3.3998,3.015,2.8716,2.6771,3.1365,2.6839,2.4973,2.8587,0.26928,-0.21111999999999997,-0.24773,0.18585,-0.15621,0.1794,0.14686,-0.12111,-0.28695,0.42877,0.031495999999999996,0.29688000000000003,0.50121,-0.35086999999999996,0.26883,0.2634,0.11922,0.038473,0.2287,-0.12583,0.14837,0.11012999999999999,0.017337,0.25345,6.6247,6.5493,6.6335,6.4944,6.7116,6.5336,6.5326,6.8359,6.6323,6.5011,6.385,6.5103,6.3037,6.7672,6.4616,6.4216,6.4613,6.6461,6.5601,6.62,6.4874,6.6244,6.731,6.5823
11.427,16.147000000000002,21.103,17.521,14.959000000000001,14.015,15.495,16.57,13.751,17.274,14.78,13.347999999999999,16.093,12.878,11.001,11.477,14.817,19.378,13.522,13.89,15.187000000000001,13.807,13.815999999999999,12.925,60,13,60,60,59,30,119,23,59,171,61,46,187,64,92,59,63,62,171,64,171,87,98,62,-12.702,-16.404,-18.264,-11.552999999999999,-12.725999999999999,-11.140999999999998,-12.505999999999998,-13.561,-11.135,-11.793,-16.041,-16.039,-12.574000000000002,-14.133,-14.280999999999999,-14.59,-11.088,-15.636,-13.509,-14.677,-13.692,-9.4946,-10.699000000000002,-13.943,4.482,4.9334,5.4922,4.5784,4.5428,4.8599,5.3353,4.9449,4.9049,5.0598,5.4188,4.8271,4.6297,4.6895,5.0614,4.6154,4.9929,5.2618,4.9393,5.1054,4.9371,4.3709,4.5806,4.9643,3.0646,3.5755,3.9016,3.5660000000000003,3.2467,2.8903,2.8253,3.1625,3.0864,3.0481,3.0993,3.3376,3.6422,3.0109,3.0827,2.9484,2.6732,3.4006,2.844,2.8974,3.0067,3.1654,2.9738,2.7704,-0.047483,0.021892,0.24258000000000002,0.20334000000000002,0.257,0.021058,0.21799000000000002,0.29893000000000003,0.28093,0.0024530000000000003,0.082376,-0.22116,0.26429,-0.19088,-0.34248,0.029343,0.040561,0.20185,-0.08784600000000001,0.058649,0.17909,0.35299,0.17586,-0.0096816,6.5654,6.4839,6.308,6.4947,6.5681,6.5654,6.5293,6.4388,6.6036,6.5426,6.5888,6.5069,6.4309,6.4371,6.6784,6.5744,6.5674,6.4293,6.6485,6.4497,6.5211,6.6041,6.7179,6.6392
12.49,10.52,11.345,11.738,13.603,11.958,14.162,11.98,13.97,16.355,15.38,10.442,16.146,11.834000000000001,13.710999999999999,11.86,14.692,12.822000000000001,12.078,13.959000000000001,20.546999999999997,17.018,12.857000000000001,18.942,193,82,18,190,18,135,29,93,134,163,62,187,12,9,169,191,108,197,145,65,62,62,65,63,-12.81,-15.043,-12.26,-16.785999999999998,-13.332,-14.913,-11.779000000000002,-14.350999999999999,-14.357000000000001,-12.690999999999999,-15.859000000000002,-12.925,-13.975999999999999,-13.99,-11.796,-12.957,-13.157,-14.738,-15.011,-14.536,-14.46,-13.338,-10.497,-14.777999999999999,4.6906,4.8504,4.6217,5.0675,4.8717,4.8614,4.6881,5.0134,4.8038,4.8331,4.9988,4.7097,5.2587,4.6465,4.7423,5.2547,4.9674,5.2825,4.8884,5.3028,5.3309,4.7905,4.4636,4.927,2.8652,2.6721,2.6252,3.1115,2.7636,2.7792,3.0741,2.9389999999999996,3.2029,3.4653,3.2038,2.6578,3.4759,2.9101,2.7171,2.7116,2.9953,2.929,2.8982,3.3203,3.8177,3.278,2.6411,3.8934,0.20363,-0.14966,-0.027726,-0.12368,-0.1239,0.017016,0.014047,-0.036409,-0.0935,0.38666,0.025566,-0.053176,0.31101,-0.1082,0.14379,0.09540900000000001,0.13508,-0.03524,-0.083571,0.22658000000000003,0.30588000000000004,0.05326,0.05550700000000001,0.045931,6.6316,6.5992,6.6111,6.5472,6.6655,6.5092,6.5921,6.626,6.5018,6.4519,6.4442,6.6479,6.5518,6.6754,6.5981,6.7311,6.5374,6.6511,6.6103,6.5793,6.4844,6.5142,6.6339,6.3793
16.143,11.6,13.343,13.883,15.975999999999999,11.620999999999999,11.338,14.832,13.743,13.352,10.265999999999998,11.443,20.116,9.4051,10.845999999999998,13.033,12.172,12.692,15.134,14.055,11.85,18.886,15.183,12.802999999999999,31,60,177,59,188,125,107,60,136,6,187,36,61,61,49,60,119,11,65,129,64,197,178,89,-16.726,-13.216,-12.447000000000001,-14.458,-12.991,-10.98,-18.352999999999998,-15.152999999999999,-13.247,-11.132,-16.554000000000002,-11.540999999999999,-12.878,-18.325,-14.862,-14.082,-11.360999999999999,-12.789000000000001,-15.716,-16.42,-11.997,-13.34,-14.8,-14.569,5.4326,4.5841,4.8232,5.0061,5.2587,4.863,5.2271,4.5977,4.9529,4.9507,4.8635,5.0152,4.8872,4.7503,4.7669,4.9878,4.8233,5.2195,4.913,5.2194,4.3387,4.7269,5.0016,4.9733,3.4599,2.5296,2.9231,3.0301,2.9044,2.4328,3.1648,3.6538,2.823,2.7253,3.2584,2.536,4.1609,3.563,3.0808,2.9713,2.861,2.5292,3.2169,2.9038,2.8258,4.0505,2.908,2.9948,-0.079843,-0.050251,0.0070558999999999995,-0.03025,0.19873,0.02298,-0.35924,0.17576,0.045587,0.0684,-0.10958,-0.11830999999999998,0.57901,-0.34125,-0.29094000000000003,-0.0096712,0.27638,0.045308999999999995,-0.040632999999999996,-0.04854,-0.060757000000000005,0.31949,0.011795,-0.0028436,6.4341,6.6216,6.6185,6.5506,6.5711,6.7367,6.5069,6.4239999999999995,6.6123,6.6623,6.4496,6.7149,6.2648,6.5055,6.5925,6.5928,6.6859,6.6125,6.4818,6.5846,6.5879,6.3603,6.5754,6.5741
14.713,11.932,13.807,10.963,16.516,12.379000000000001,15.295,10.689,12.179,9.1371,12.43,12.249,10.593,16.162,12.527999999999999,19.563,9.7951,13.894,12.498,13.597999999999999,12.950999999999999,12.540999999999999,12.119000000000002,12.116,62,155,122,61,59,197,15,17,37,133,61,11,162,62,191,61,51,64,102,76,63,191,149,152,-13.113,-15.029000000000002,-10.119,-16.682000000000002,-10.802999999999999,-13.647,-15.418,-9.1805,-13.072000000000001,-19.227,-15.585,-12.807,-17.369,-13.633,-18.77,-13.173,-13.788,-14.965,-14.95,-13.255999999999998,-16.64,-13.32,-15.033,-15.273,5.2807,4.6329,4.7973,4.8799,4.966,4.2957,5.1627,3.9273,5.3025,4.5082,4.8712,4.9697,4.5544,4.8439,5.2375,5.112,4.6547,5.1579999999999995,4.979,5.0581,4.8804,4.8392,4.5529,5.0754,2.6946,2.8319,2.6042,3.3652,3.0107,3.8902,3.0982,2.8543,2.4116,3.7501,3.1495,2.8789999999999996,3.4606,3.3989,4.0126,3.6882,2.7941,3.0263,2.9449,2.6188,3.0145,3.1964,3.1823,3.1016,0.0077532,-0.17915,0.16405,-0.26721,0.35279,0.046522,-0.009865100000000002,0.23175,-0.066333,-0.48100000000000004,-0.22148,-0.07786599999999999,-0.21425,0.17803,-0.51912,0.20375,-0.34949,-0.28989000000000004,-0.13647,-0.023895,0.013590999999999999,-0.16224,0.11427000000000001,-0.24681,6.6623,6.6163,6.6674,6.5863,6.6587,6.5059,6.4342,6.6249,6.7897,6.4426,6.5306,6.7287,6.5003,6.428,6.4471,6.3872,6.5377,6.5685,6.5767,6.5821,6.4854,6.5736,6.4675,6.712999999999999
