Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Max_9,Max_10,Max_11,Max_12,Max_13,Max_14,Max_15,Max_16,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Min_11,Min_12,Min_13,Min_14,Min_15,Min_16,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,RMS_9,RMS_10,RMS_11,RMS_12,RMS_13,RMS_14,RMS_15,RMS_16,Kurtosis_1,Kurtosis_2,Kurtosis_3,Kurtosis_4,Kurtosis_5,Kurtosis_6,Kurtosis_7,Kurtosis_8,Kurtosis_9,Kurtosis_10,Kurtosis_11,Kurtosis_12,Kurtosis_13,Kurtosis_14,Kurtosis_15,Kurtosis_16,Skew_1,Skew_2,Skew_3,Skew_4,Skew_5,Skew_6,Skew_7,Skew_8,Skew_9,Skew_10,Skew_11,Skew_12,Skew_13,Skew_14,Skew_15,Skew_16,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16
11.08,13.175,11.809000000000001,10.211,6.4337,8.4759,8.3791,10.882,10.799000000000001,8.8752,11.075999999999999,8.5785,10.850999999999999,9.5124,6.8746,10.064,60,58,60,193,30,188,51,27,171,59,63,61,63,30,8,61,-7.8081,-8.9733,-7.9455,-9.6493,-7.3716,-9.6052,-9.7099,-10.877,-10.533,-9.1818,-12.046,-8.5638,-9.1411,-8.5524,-11.981,-13.099,3.2547,3.5547,3.1884,3.3792,3.0973,3.4554,3.4797,3.3232,3.4297,3.6146,3.3982,3.3954,3.7115,3.2542,3.1039999999999996,3.4707,3.3396,3.7293,3.5412,2.8789,2.3105,2.7226,2.5448,3.5753,3.0707,2.5849,3.8042,2.5234,2.8175,3.0241,3.3635,3.7753,0.19674,0.34465,0.16642,0.083093,-0.040701,0.064808,-0.0096947,-0.12097999999999999,0.09984900000000001,0.0946,-0.10595999999999998,0.070189,-0.0065976,-0.036525999999999996,-0.31773,-0.2258,6.5504,6.4367,6.4983,6.475,6.8623,6.5342,6.5772,6.4209,6.4792,6.6487,6.2911,6.6625,6.5901,6.4129,6.4423,6.3052
10.876,6.6582,8.2375,9.4995,9.1403,10.317,8.8167,11.015,7.6117,8.6855,9.0747,10.421,7.547000000000001,10.307,7.8681,8.8463,59,19,61,51,139,12,171,59,73,60,24,167,63,63,73,62,-7.5319,-6.7991,-7.6832,-8.2706,-7.72,-8.9231,-9.9328,-8.5137,-11.592,-9.1837,-7.8568,-8.9636,-9.1608,-9.0526,-7.5739,-9.5126,3.1694,3.1814,3.3886,3.2394,3.1329,3.2845,3.2585,3.3295,3.389,3.2571,3.4515,3.2359,3.3922,3.3280000000000003,3.0903,3.6219,3.3768,2.5442,2.4974,2.9506,2.8109,3.2594,2.9151,2.7306,3.4989,3.1971,2.7658,3.2134,2.8014,3.0154,2.8223,2.7569,0.19158,0.18449000000000002,0.01431,0.0046045,-0.11458,0.24631999999999998,-0.17985,0.037369,-0.37799999999999995,-0.05969,0.16699999999999998,0.24969,0.00083979,0.11197,-0.074141,0.058303,6.4609,6.6611,6.7886,6.5433,6.5055,6.4679,6.4367,6.5831,6.5674,6.5664,6.632999999999999,6.4942,6.69,6.5126,6.7665,6.5986
11.118,10.993,9.7252,10.658,11.634,10.487,9.1897,6.6658,8.3858,7.9488,8.1964,9.0693,9.6704,7.45,10.225,8.331,59,58,60,58,59,132,167,44,106,16,124,168,146,144,59,174,-8.0713,-8.8736,-5.7849,-9.8596,-10.83,-8.3589,-8.2996,-11.357999999999999,-12.142000000000001,-7.6633,-8.5084,-8.5707,-14.112,-8.0184,-9.9011,-11.213,3.5995,3.6461,2.9374,3.4571,3.5024,3.4863,3.4892,3.1118,3.5952,3.3345,3.2081,3.315,3.6606,3.2868,3.4682,3.5856,2.7583,2.819,2.9019,3.196,3.6159,3.2362,2.8682,3.3192,3.3134,2.5776,2.8183,3.0994,3.2928,2.5036,2.7805,3.0567,0.055349,0.22434,0.36591999999999997,0.19386,0.17244,0.20131,-0.094901,-0.29458,-0.28984,0.0063442,0.054446,0.08480399999999999,-0.058273,-0.23976999999999998,-0.10642,-0.20742,6.4691,6.5637,6.6464,6.5308,6.4853,6.5636,6.5844,6.4823,6.5841,6.7281,6.6755,6.6023,6.492000000000001,6.6918,6.5762,6.5716
8.8078,8.8171,6.4159,9.9145,9.6298,10.349,8.7957,10.074,9.3941,9.5744,10.845,8.5631,6.4357,9.218,8.9288,9.6177,72,92,86,155,58,59,103,59,142,66,72,143,40,68,67,189,-7.407,-10.234,-8.6058,-8.5703,-9.7865,-8.5537,-7.5086,-12.962,-7.0131,-9.2381,-8.1443,-8.4657,-12.384,-10.904000000000002,-7.8699,-8.754,3.0967,3.665,2.9446,3.1412,3.5791,3.6002,3.3727,3.6318,3.2394,3.2789,3.3868,3.3668,3.1387,3.7168,3.6009,3.5137,2.7769999999999997,2.8276,3.0689,3.4087,2.5695,2.7249,2.5753,3.5331,2.6743,3.0261,2.8835,2.7898,3.5171,2.7363,2.3774,2.8156,0.22951999999999997,-0.038181,-0.19252,0.22482,0.042832999999999996,0.23013000000000003,0.2044,-0.18611,0.043317,-0.30466,0.32011,-0.08608500000000001,-0.47368000000000005,-0.080265,0.17172,0.043923000000000004,6.6454,6.6954,6.6716,6.5204,6.5231,6.626,6.6692,6.4142,6.6469,6.397,6.5674,6.7521,6.4075,6.5093,6.6413,6.579
7.985,7.7754,11.220999999999998,10.33,8.7524,10.127,9.9678,9.5892,10.675999999999998,8.4217,8.3412,9.7659,8.815,9.289,8.103,7.5437,30,18,157,109,87,138,58,60,125,65,189,99,93,60,63,89,-8.1913,-7.3926,-8.2241,-8.4856,-8.6869,-8.6452,-9.5726,-8.116,-11.379000000000001,-10.722000000000001,-10.713,-9.0991,-12.345,-9.4284,-9.4996,-10.382,3.3922,3.2733,3.1499,3.247,3.5077,3.1261,3.326,3.6161,3.3696,3.2705,3.5831,3.5778,3.7422,3.5541,3.5601,3.2598,2.5273,2.4876,3.8805,2.9327,2.697,3.9509,2.9307,2.7001,3.4525,3.1823,2.835,2.803,3.0345,2.7808,2.6311,3.0164,-0.059115,0.34219,0.41906000000000004,0.32621,-0.13297,0.27498,-0.16541,0.082286,0.17607,-0.038972,0.026677999999999997,0.188,-0.20515,-0.076668,-0.05970399999999999,-0.15316,6.6274,6.6462,6.4265,6.5360000000000005,6.7681,6.3635,6.4975,6.7043,6.4339,6.5014,6.6959,6.5741,6.596,6.6311,6.622000000000001,6.6293
8.4533,9.5595,8.8419,9.2083,8.4272,11.325999999999999,8.6884,9.022,8.3707,8.3426,10.177999999999999,8.1146,8.5519,10.530999999999999,8.8387,11.627,155,61,3,5,137,4,33,19,197,179,60,85,44,61,176,61,-8.9514,-7.8862,-7.8879,-8.2822,-9.0909,-8.1089,-7.876,-10.089,-9.0405,-12.932,-8.07,-8.4303,-9.675,-8.3274,-9.058,-8.0882,3.3094,3.1793,3.3418,3.2676,3.1328,3.3867,3.1274,3.2235,3.3031,3.3316,3.324,3.3088,3.4807,3.3492,3.6394,3.1384,2.9344,3.028,2.5242,3.1932,3.0201,3.1136,2.6527,2.9096,2.7355,3.5934,2.8898,2.5466,2.739,3.2546,2.6487,3.3778,-0.26327,0.27475,0.12347999999999999,0.29915,-0.16066,0.2575,-0.11292,0.11225,-0.12397999999999999,-0.25021,-0.088016,-0.10054,-0.22045,0.11692000000000001,-0.01439,0.08745800000000001,6.653,6.545,6.7254,6.6005,6.6044,6.6152,6.6497,6.5344,6.6774,6.4287,6.474,6.5637,6.6454,6.4715,6.6267,6.5025
9.3541,10.609000000000002,10.475,10.054,8.9809,8.3725,9.7513,9.3972,8.943,9.7486,9.6809,7.7041,8.1095,9.4653,10.66,7.5283,87,138,59,171,59,59,59,125,34,59,187,46,62,147,40,60,-10.02,-7.1694,-8.0389,-10.11,-8.5557,-9.5077,-10.056000000000001,-10.253,-8.2205,-8.6893,-9.0868,-8.5612,-7.2769,-7.6454,-8.1107,-9.0701,3.2877,3.1123,3.3237,3.2744,2.8319,3.2624,3.4245,3.5706,3.3946,3.2811,3.4417,3.1098,3.4364,3.0481,3.5773,3.3558,3.2338,3.5927,3.0041,3.3961,3.3372,2.7746,2.9366,3.0123,2.46,3.0967,3.032,2.7933,2.5343,2.9698,2.7437,2.6658,0.14349,0.45776000000000006,0.2412,-0.029944,-0.071889,-0.1596,-0.14373,-0.12791,-0.090642,0.095541,0.18181,-0.13777999999999999,0.026174,0.088399,0.17645,0.040865,6.4778,6.5601,6.5426,6.486000000000001,6.4158,6.5531,6.5118,6.5147,6.6562,6.5496,6.5503,6.5906,6.8086,6.5065,6.6392,6.6579
8.0785,10.041,9.4472,9.6851,8.7474,9.2574,11.046,9.0337,9.4336,11.659,9.7986,8.0718,10.731,10.437999999999999,7.3056,8.7245,200,78,80,36,58,10,59,157,197,182,3,58,28,81,49,174,-11.38,-10.664000000000001,-9.0009,-8.5278,-9.8187,-10.720999999999998,-8.4712,-9.6702,-8.0164,-10.298,-8.4766,-8.0903,-10.955,-8.8689,-8.1535,-11.355,3.2397,3.6555,3.4610000000000003,3.5799,3.4067,3.6726,3.5245,3.6421,3.2084,3.3267,3.6205,3.2543,3.6510000000000002,3.2629,3.1964,3.3254,3.4523,2.8425,3.1146,2.7481,2.983,2.8771,2.6333,3.1269,2.7680000000000002,3.852,2.6321,2.477,2.8858,3.4461,2.6069,3.6272,-0.049668000000000004,-0.09983600000000001,-0.093833,0.25564000000000003,-0.05011,0.0019509,0.15234,0.20965999999999999,-0.01438,0.19294,-0.044979000000000005,0.015375,0.08290499999999999,0.33155,0.016576,-0.18550999999999998,6.5203,6.4464,6.4321,6.6,6.6159,6.6785,6.547000000000001,6.6193,6.5887,6.4167,6.6016,6.6531,6.5425,6.4616,6.6474,6.4579
11.505999999999998,10.283,13.039000000000001,12.718,8.9203,7.6379,9.0462,8.8023,9.273,8.5029,8.017000000000001,10.422,9.914,9.9001,9.8863,10.115,172,26,59,143,116,144,60,99,141,60,154,185,61,148,59,73,-9.9296,-9.0979,-8.8457,-11.520999999999999,-8.8164,-12.224,-9.0273,-10.538,-8.3127,-8.5859,-8.6048,-8.5395,-9.269,-8.0613,-9.0869,-7.8642,3.5672,3.415,3.4318,3.4402,3.3442,3.4783,3.4265,3.5066,3.2732,3.3269,3.2788,3.4,3.4216,3.1738,3.4576,3.4608,3.1911,3.4496,3.5771,3.6892,2.747,3.1421,2.6347,2.9654,2.6313,2.824,2.8624,3.2821,3.0055,2.9407,2.8988,2.6814,0.11750999999999999,0.27884000000000003,0.19987,0.33678,-0.15961,-0.2349,-0.0081184,-0.16734000000000002,-0.10682,-0.093812,-0.073826,0.36469,0.15275999999999998,0.13267,0.23739000000000002,0.20648000000000002,6.4614,6.5936,6.4194,6.3816,6.6426,6.4981,6.5811,6.5360000000000005,6.6686,6.6493,6.7323,6.5805,6.5062,6.4625,6.6298,6.632999999999999
7.3244,9.1556,9.1703,8.341000000000001,10.574000000000002,8.8955,8.2414,9.2083,8.7639,8.6643,9.6904,9.5827,10.761,9.3294,8.3508,8.8141,16,57,59,193,60,88,71,60,88,150,155,181,62,2,155,63,-7.8824,-8.4856,-8.7142,-9.3625,-8.0944,-11.679,-8.5375,-7.7882,-7.896,-11.1,-8.3138,-8.8149,-7.2868,-9.6206,-6.654,-11.93,3.0039,3.4402,3.3172,3.2423,3.0979,3.3405,3.3009,3.3769,3.2756,3.3810000000000002,3.3572,3.3317,3.0772,3.1839,3.2398,3.3326,2.7627,3.0883,3.0401,2.7614,3.389,3.1045,2.7035,2.4006,3.0031,3.0753,3.1052,2.9930000000000003,2.9768,3.4711,2.5279,3.5815,-0.073911,0.22389,-0.18157,-0.044211,-0.15093,-0.00014549,0.088668,0.034776999999999995,-0.12741,-0.068264,0.22743000000000002,0.00053036,0.19772,-0.062422000000000005,0.062862,-0.29205,6.712999999999999,6.5921,6.6152,6.5301,6.5131,6.5298,6.6225,6.6449,6.7035,6.568,6.5039,6.5944,6.5897,6.4506,6.8418,6.497999999999999
