Top 50%,,,,,,,,,,,,,,,,
Template,,,,,,,,,,,,,,,,
,x,,,x1,x2,x3,x4,,,,,,,,,
x1,-5dB,8 contacts,y1,x1y1,x2y1,x3y1,x4y1,,,,,,,,,
x2,-10dB,16 contacts,y2,x1y2,x2y2,x3y2,x4y2,,,,,,,,,
x3,-15dB,24 contacts,y3,x1y3,x2y3,x3y3,x4y3,,,,,,,,,
x4,-20dB,32 contacts,y4,x1y4,x2y4,x3y4,x4y4,,,,,,,,,
,,40 contacts,y5,x1y5,x2y5,x3y5,x4y5,,,,,,,,,
,,,,,,,,,,,,,,,,
TRI,,,,,,,,,OLD CIM,,,,,,,
,x,y,,x1,x2,x3,x4,,,x,y,,x1,x2,x3,x4
,-5dB,8 contacts,y1,1,1,1,0.75,,,-5dB,8 contacts,y1,1,1,1,0.75
,-10dB,16 contacts,y2,0.5,0.5,0.5,0.75,,,-10dB,16 contacts,y2,0.875,1,0.75,0.375
,-15dB,24 contacts,y3,0.75,0.666666666667,0.666666666667,0.666666666667,,,-15dB,24 contacts,y3,0.833333333333,0.833333333333,0.583333333333,0.416666666667
,-20dB,32 contacts,y4,0.75,0.875,0.9375,0.75,,,-20dB,32 contacts,y4,0.75,0.5625,0.625,0.5625
,,40 contacts,y5,0.8,0.75,0.75,0.6,,,,40 contacts,y5,0.8,0.55,0.45,0.55
,,,TOTAL,14.962500000001,,,,,,,,TOTAL,14.266666666666,,,
,,,,,,,,,,,,,,,,
COM,,,,,,,,,OLD CIM,,,,,,,
,x,y,,x1,x2,x3,x4,,,x,y,,x1,x2,x3,x4
,-5dB,8 contacts,y1,1,1,1,0.75,,,-5dB,8 contacts,y1,1,1,0.5,0.25
,-10dB,16 contacts,y2,0.875,1,0.875,0.875,,,-10dB,16 contacts,y2,0.875,1,0.75,0.375
,-15dB,24 contacts,y3,0.916666666667,0.833333333333,0.833333333333,0.666666666667,,,-15dB,24 contacts,y3,0.833333333333,0.833333333333,0.5,0.583333333333
,-20dB,32 contacts,y4,0.9375,0.6875,0.75,0.5625,,,-20dB,32 contacts,y4,0.75,0.5625,0.5625,0.5
,,40 contacts,y5,0.8,0.75,0.65,0.55,,,,40 contacts,y5,0.8,0.6,0.55,0.55
,,,TOTAL,16.3125,,,,,,,,TOTAL,13.374999999999,,,
PSD,,,,,,,,,OLD CIM,,,,,,,
,x,y,,x1,x2,x3,x4,,,x,y,,x1,x2,x3,x4
,-5dB,8 contacts,y1,1,1,1,0.75,,,-5dB,8 contacts,y1,1,1,1,0.75
,-10dB,16 contacts,y2,0.875,1,0.875,1,,,-10dB,16 contacts,y2,0.875,1,0.75,0.375
,-15dB,24 contacts,y3,0.833333333333,0.75,0.833333333333,0.5,,,-15dB,24 contacts,y3,0.833333333333,0.833333333333,0.583333333333,0.416666666667
,-20dB,32 contacts,y4,0.75,0.625,0.6875,0.5,,,-20dB,32 contacts,y4,0.75,0.5625,0.625,0.5625
,,40 contacts,y5,0.7,0.65,0.6,0.45,,,,40 contacts,y5,0.8,0.55,0.45,0.55
,,,TOTAL,15.379166666666,,,,,,,,TOTAL,14.266666666666,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TOTAL,21.783333333332,,,
REF_AVERAGE,,,,,,,,,OLD CIM,,,,,,,
,x,,,x1,x2,x3,x4,,,x,y,,x1,x2,x3,x4
,-5dB,8 contacts,y1,1,1,1,0.75,,,-5dB,8 contacts,y1,1,1,0.833333333333333,0.583333333333333
,-10dB,16 contacts,y2,0.75,0.833333333333333,0.75,0.875,,,-10dB,16 contacts,y2,0.875,1,0.75,0.375
,-15dB,24 contacts,y3,0.833333333333333,0.75,0.777777777777667,0.611111111111333,,,-15dB,24 contacts,y3,0.833333333333,0.833333333333,0.555555555555333,0.472222222222333
,-20dB,32 contacts,y4,0.8125,0.729166666666667,0.791666666666667,0.604166666666667,,,-20dB,32 contacts,y4,0.75,0.5625,0.604166666666667,0.541666666666667
